isbn,original_publication_year,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
440215625,1992.0,347569,2241,7552,42197,114917,180662
914425022,2019.0,127605,3946,7343,28740,44885,42691
952457769,2020.0,492577,10670,19053,60622,150507,251725
330419129,2004.0,14047,3348,8245,39207,85126,66662
399563083,2017.0,142715,1062,2124,12669,48620,78240
91625173X,2002.0,74,2,0,26,33,13
385045980,1971.0,90,2,5,30,28,25
982142863,2021.0,16712,294,1179,4202,5277,5760
611099749,2013.0,7659,202,537,2025,2895,2000
455536482,2018.0,230669,1765,4824,34617,93393,96070
400064163,2010.0,916216,22580,25190,83479,238974,545993
143124544,2013.0,1568826,23214,48203,203876,519734,773799
345444051,1987.0,155967,1661,5521,27604,59043,62138
345504968,2010.0,209027,5122,11260,34884,76214,81547
503939967,2016.0,1087,13,45,231,431,367
250803829,2022.0,323492,2326,11288,66339,146996,96543
59332983X,2021.0,298331,6761,18641,72192,123025,77712
440000211,2022.0,104011,887,5558,29388,46821,21357
250316774,2019.0,893344,17887,43968,150061,295922,385506
735211205,2017.0,378127,9434,34044,127285,137251,70113
34553980X,2014.0,382845,6504,13072,45962,124621,192686
728231736,2021.0,205319,6797,18752,54859,70528,54383
728258456,2020.0,256187,7478,19891,60292,89217,79309
956600329,2020.0,27438,453,1074,4301,10214,11386
063055988,2022.0,37728,224,1202,6308,16148,13846
765311788,2006.0,638924,4751,9493,47921,191800,384959
545123267,2009.0,475684,23084,45475,112676,134952,159497
419760866,2022.0,48202,2809,4165,10576,15516,15136
